animal	DOB	sex	study	DateStudy	Age	Rearing2	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	Rearing	ID	Age group
BAHN 4523	30012	M	2	01/04/2008	26	M	NA	NA	0	Video	Tool	3	0	1	M	BAHN 4523	3
BART 5630	32955	M	2	01/04/2008	18	N	NA	NA	0	Video	Tool	2	0	2	N	BART 5630	3
BASHFUL 1768	24108	F	2	01/04/2008	42	M	NA	NA	0	Video	Tool	1	0	1	W	BASHFUL 1768	4
BECCA 5717	33280	F	2	01/04/2008	17	N	NA	NA	0	Video	Tool	5	0	2	N	BECCA 5717	3
BERNADETTE 3867	28539	F	2	01/04/2008	30	N	NA	NA	0	Video	Tool	8	0	2	N	BERNADETTE 3867	3
BERNIE 1929	24473	F	2	01/04/2008	41	M	NA	NA	0	Video	Tool	3	0	3	W	BERNIE 1929	4
BETA 6039	34508	F	2	01/04/2008	13	M	NA	NA	0	Video	Tool	5	0	4	M	BETA 6039	2
BETSY 1856	23743	F	2	01/04/2008	43	M	NA	NA	0	Video	Tool	3	0	3	W	BETSY 1856	4
BETTY 3440	27277	F	2	01/04/2008	33	M	0.538461538	0.153846154	1	Video	Tool	7	1	6	M	BETTY 3440	3
BILLY 5957	34136	M	2	01/04/2008	14	M	NA	NA	0	Video	Tool	6	0	4	M	BILLY 5957	2
BISCHK 5180	31388	F	2	01/04/2008	22	M	NA	NA	0	Video	Tool	1	0	0	M	BISCHK 5180	3
BO 5951	34105	M	2	01/04/2008	14	M	NA	NA	0	Video	Tool	5	0	4	M	BO 5951	2
BRENDA 2768	26299	F	2	01/04/2008	36	M	NA	NA	0	Video	Tool	4	0	4	W	BRENDA 2768	4
BRIA 6167	34942	F	2	01/04/2008	12	M	NA	NA	0	Video	Tool	6	0	4	M	BRIA 6167	2
BRUCE 3402	27365	M	2	01/04/2008	33	U	NA	NA	0	Video	Tool	0	0	0	U	BRUCE 3402	3
CASSIE 5555	32662	F	2	01/04/2008	18	M	NA	NA	0	Video	Tool	6	0	4	M	CASSIE 5555	3
CATHERINE 4015	28897	F	2	01/04/2008	29	M	NA	NA	0	Video	Tool	1	0	0	M	CATHERINE 4015	3
CECELIA 5721	33293	F	2	01/04/2008	17	M	NA	NA	0	Video	Tool	9	0	4	M	CECELIA 5721	3
CESAR 5383	32064	M	2	01/04/2008	20	N	NA	NA	0	Video	Tool	0	0	0	N	CESAR 5383	3
CHECHEKUL 4544	30074	F	2	01/04/2008	25	N	NA	NA	0	Video	Tool	0	0	0	N	CHECHEKUL 4544	3
CHEOPI 6493	33216	F	2	01/04/2008	17	N	NA	NA	0	Video	Tool	5	0	1	N	CHEOPI 6493	3
CHESTER 6208	35097	M	2	01/04/2008	12	M	NA	NA	0	Video	Tool	6	0	2	M	CHESTER 6208	2
CHINOOK 5465	32380	M	2	01/04/2008	19	U	NA	NA	0	Video	Tool	7	0	5	U	CHINOOK 5465	3
CHRISSY 2525	25563	F	2	01/04/2008	38	M	NA	NA	0	Video	Tool	2	0	0	M	CHRISSY 2525	4
CHUHIA 4244	29478	F	2	01/04/2008	27	M	NA	NA	0	Video	Tool	2	0	1	M	CHUHIA 4244	3
COCO 5061	30914	F	2	01/04/2008	23	M	NA	NA	0	Video	Tool	3	0	0	M	COCO 5061	3
CODY 5618	32909	M	2	01/04/2008	18	M	NA	NA	0	Video	Tool	3	0	2	M	CODY 5618	3
